3	2020-12-02
2	2020-12-03
5	2020-12-04
2	2020-12-05
2	2020-12-07
5	2020-12-08
2	2020-12-09
1	2020-12-30
3	2020-12-31
8	2021-01-03
6	2021-01-04
1	2021-01-07
10	2021-03-10
1	2021-03-12
1	2021-03-13
4	2021-04-07
2	2021-04-08
1	2021-04-16
3	2021-04-18
1	2021-04-21
2	2021-04-25
2	2021-04-26
1	2021-04-27
1	2021-04-29
3	2021-05-05
2	2021-05-11
2	2021-05-12
4	2021-05-13
2	2021-05-31
1	2021-06-01
1	2021-06-04
1	2021-06-15
1	2021-06-25
1	2021-07-20
12	2021-08-14
2	2021-08-15
1	2021-08-24
2	2021-08-30
1	2021-11-30
4	2021-12-02
2	2021-12-03
1	2022-01-16
7	2022-01-22
1	2022-02-13
1	2022-02-21
1	2022-02-25
1	2022-04-04
4	2022-04-05
2	2022-04-29
6	2022-07-31
9	2022-09-30
1	2022-10-03
1	2022-10-04
4	2022-10-05
1	2022-10-07
1	2022-10-19
4	2022-10-20
3	2022-10-21
1	2022-10-26
2	2022-10-28
1	2022-10-30
1	2023-01-08
1	2023-01-14
3	2023-01-16
2	2023-01-26
1	2023-01-28
1	2023-01-30
1	2023-02-05
1	2023-02-10
4	2023-04-01
2	2023-04-02
1	2023-04-05
6	2023-04-06
4	2023-04-08
1	2023-04-10
1	2023-04-20
1	2023-04-21
3	2023-04-22
1	2023-04-24
3	2023-04-26
2	2023-04-28
4	2023-04-29
1	2023-04-30
2	2023-05-09
1	2023-05-10
11	2023-05-11
17	2023-05-12
4	2023-05-13
9	2023-05-14
1	2023-05-19
1	2023-05-21
1	2023-08-02
2	2023-08-06
1	2023-08-21
2	2023-09-03
